Distance,Name,Constellation
0,The Sun (Sol),...
4.4,Alpha Centauri A,Centaurus
11.9,Tau Ceti,Cetus
18.8,Sigma Draconis,Draco
19.4,Eta Cassiopeiae A,Cassiopeia
19.8,82 Eridani,Eridanus
19.9,Delta Pavonis,Pavo
21.8,Xi Bootis A,Bootes
24.4,Beta Hydri,Hydrus
24.6,Mu Cassiopeiae A,Cassiopeia
27.3,Alula Australis Ba,Ursa Major
27.3,Chara,Canes Venatici
27.4,Mu Herculis Aa,Hercules
27.8,61 Virginis,Virgo
28.3,Chi1 Orionis A,Orion
28.7,41 Arae A,Ara
29.9,Groombridge 1830,Ursa Major
29.9,Kappa Ceti,Cetus
30.1,HR 4523 A,Centaurus
31.1,61 Ursae Majoris,Ursa Major
33.1,Alpha Mensae,Mensa
34.4,Iota Persei,Perseus
35.2,Zeta Herculis B,Hercules
35.4,Delta Trianguli A,Triangulum
36.5,11 Leonis Minoris A,Leo Minor
37,Muphrid A,Bo?tes
38.3,Lambda Serpentis,Serpens Caput
38.4,Iota Pegasi B,Pegasus
39.4,Zeta2 Reticuli,Reticulum
39.9,Zeta1 Reticuli,Reticulum
40.4,85 Pegasi Aa,Pegasus
40.9,55 (Rho1) Cancri - Rho1 A,Cancer
41,HR 3259,Puppis
41.2,HR 483 A,Andromeda
41.2,Lambda Aurigae,Auriga
41.4,HR 683,Fornax
41.6,44 (i) Bootis B,Bo?tes
41.6,44 (i) Bootis C,Bo?tes
42,HR 6094 A,Scorpius
42.1,HR 4587,Virgo
42.2,Capella Aa/A,Auriga
42.2,Capella Ab/B/P,Auriga
42.4,HR 6998,Sagittarius
43.4,58 Eridani,Eridanus
44.4,HR 8501 A,Grus
44.7,Alshain A,Aquila
44.8,CD-57 6303,Norma
45.8,18 Scorpii,Scorpius
45.9,47 Ursae Majoris,Ursa Major
46,26 Draconis,Draco
46,Alpha Fornacis B,Fornax
46.6,Pi1 Ursae Majoris,Ursa Major
46.9,BD+39 2947 A,Corona Borealis
46.9,72 Herculis A?,Hercules
47.5,Nu2 Lupi,Lupus
47.8,HR 7898,Capricornus
47.8,Psi Serpentis Aa,Serpens
48.6,20 Leonis Minoris,Leo Minor
48.7,HR 209 A,Phoenix
49.2,Gl 264.1 B,Puppis
49.4,31 Aquilae,Aquila
49.6,171 Puppis A,Puppis
49.7,HR 5864 A,Lupus
49.8,Mu Arae,Ara
50.1,51 Pegasi,Pegasus
50.2,BD+37 783,Perseus
50.5,HR 7368,Lyra
50.7,HR 159 Aa,Cetus
50.7,HR 159 B,Cetus
50.8,HR 2007,Orion
51,HR 8323,Grus
51.8,104 Tauri,Taurus
51.8,HR 7670 A,Cygnus
52.8,HR 3138 Aa,Carina
53,HR 2667 Aa,Puppis
53.6,10 Ursae Majoris B,Ursa Major
53.6,HR 6516 A,Ophiuchus
53.6,HR 6516 B,Ophiuchus
53.9,Psi5 Aurigae,Auriga
54.1,HR 5273 A,Bo?tes
54.4,9 Puppis B,Puppis
54.4,HR 2225,Canis Major
54.6,39 Tauri A?,Taurus
54.8,BD+03 2765 A,Virgo
54.8,"BD+03 2766, 2765 B",Virgo
54.8,BD+29 1664,Gemini
55,HR 2721,Lynx
55.2,V2292 Ophiuchi,Ophiuchus
55.6,HR 2997,Camelopardalis
55.8,HR 3538,Hydra
56,HR 7232,Corona Australis
56,HR 4864,Coma Berenices
56.2,Iota Horologii,Horologium
56.3,37 Geminorum,Gemini
56.4,BD-00 2944 A?,Serpens Caput
56.6,HR 6748,Puppis
56.7,10 Canum Venaticorum,Canes Venatici
56.8,Rho Coronae Borealis,Corona Borealis
57,39 Serpentis A,Serpens
57,Chi Eridani A,Eridanus
57.3,HR 7783,Draco
57.4,HR 5384,Virgo
57.5,GJ 3021,Hydrus
57.6,15 Sagittae A,Sagitta
57.8,HR 7644,Pavo
57.9,BD+27 1775 A,Leo
57.9,Iota Pavonis A,Pavo
58,HR 4525,Hydra
58.5,HR 5534 A,Bo?tes
58.6,59 Virginis,Virgo
58.9,BD+47 2420,Hercules
59,CD-28 12769,Ophiuchus
59.1,70 Virginis,Virgo
59.1,HR 2208 A?,Orion
59.4,Pi Mensae,Mensa
60,HN Pegasi,Pegasus
60.1,15 Leonis Minoris,Leo Minor
60.2,BD+69 238,Camelopardalis
60.7,Eta Coronae Borealis Aa,Corona Borealis
60.7,Eta Coronae Borealis Ba,Corona Borealis
61.1,HR 8148 Aa,Capricornus
61.1,HR 8148 B,Capricornus
61.4,CD-23 315,Cetus
61.6,HR 7683 A,Cygnus
62.3,HR 2643,Gemini
62.7,BD-01 1883 A,Monoceros
63.1,BD+15 4026,Aquila
63.3,CD-31 17597,Sagittarius
63.5,HR 6465,Ophiuchus
63.6,CD-24 658 A,Cetus
63.8,CP-60 424,Dorado
63.9,BD+81 482,Ursa Minor
64.2,BD+03 2938,Virgo
64.2,BD+37 1738,Lynx
64.3,HD 217107,Pisces
64.4,V368 Cephei,Cepheus
65,HR 3430 Aa,Pyxis
65,HR 5209,Hydra
65.2,BD+57 1961,Draco
65.3,BD+18 4505 A,Sagitta
65.4,BD+18 1074,Gemini
65.5,53 Aquarii A,Aquarius
65.5,53 Aquarii B,Aquarius
65.8,BD+21 3822,Vulpecula
66.2,V640 Cassiopeiae A,Cassiopeia
66.2,V640 Cassiopeiae B,Cassiopeia
66.4,CP-74 1218,Apus
66.5,BE Ceti,Cetus
66.6,Kappa Tucanae B,Tucana
66.8,CD-68 2223,Pavo
66.8,HR 4979,Centaurus
66.8,Pi1 Cancri Aa,Cancer
67.1,50 Persei B,Perseus
67.3,BD+44 1973,?Ursa Major
67.4,BD+16 527 A,Taurus
67.5,CD-41 15204 A,Grus
67.6,94 Aquarii Aa,Aquarius
67.9,BD+14 512,Gemini
68,HR 7330,Sagittarius
68.2,Tau Cygni Ab/B,Cygnus
68.4,HR 7260 A,Sagitta
68.4,HR 7914 A,Delphinus
68.4,BD+68 113,Cassiopeia
68.6,13 Ceti Ba,Cetus
69,51 Arietis,Aries
69.1,BD+05 614 A,Taurus
69.1,V891 Tauri,Taurus
69.4,HD 210277,Aquarius
69.6,HR 5070,Ursa Major
69.6,BD+02 3001,Serpens Caput
69.8,BD+59 736 A,Camelopardalis
69.8,BD+45 404,Andromeda
70,BD+25 3020 A,Serpens Caput
70.2,BD+27 1490,Gemini
70.3,BD+57 1438,Ursa Major
70.5,CD-44 14214,Microscopium
70.5,16 Cygni A,Cygnus
70.5,16 Cygni B,Cygnus
70.6,CD-25 8519,Hydra
70.7,HR 2468 A,Pictor
70.7,CD-57 6486,Ara
70.7,Sigma Coronae Borealis B,Corona Borealis
70.8,BD+32 1695,Cancer
70.8,HR 5829 A,Ursa Minor
70.8,HR 4345,Ursa Major
71,BD-00 2024,Hydra
71,HR 2882,Puppis
71.1,HR 3309,Lynx
71.2,BD+27 1490,Gemini
71.3,CD-66 38,Tucana
71.3,BD+57 1438,Ursa Major
71.3,CD-31 12689,Scorpius
71.5,Kappa Fornacis,Fornax
71.7,BD-4 3049,Leo
71.9,HR 2318,Canis Major
71.9,HR 5829 A,Ursa Minor
71.9,HR 5829 B,Ursa Minor
72,BD-05 138,Cetus
72.1,CD-29 8316,Hydra
72.2,BD-04 3408,Virgo
72.2,HR 8477,Grus
72.2,CD-74 1463,Indus
72.2,BD+65 210,Cassiopeia
72.5,BD+41 3799 A,Cygnus
72.6,CD-56 1071 A,Dorado
72.6,BD+30 1423,Gemini
72.7,BD-02 3804,Virgo
72.8,BD+47 2491,Hercules
73.1,Mu1 Cygni Ba,Cygnus
73.2,CD-29 17282,Microscopium
73.4,CD-51 2507,Carina
73.8,CD-47 14099,Grus
74,HR 6847,Lyra
74.2,HR 4013,Antlia
74.4,BD-19 1297 A,Lepus
74.6,BD+61 513 A,Cassiopeia
74.7,Alpha Coronae Borealis B,Corona Borealis
75,Chi Ceti B,Cetus
75.1,CD-53 36 A,Phoenix
75.1,88 Leonis A,Leo
75.2,HR 8526,Octans
75.4,BD+06 1155,Orion
75.4,HR 8964,Andromeda
75.6,BD+23 285,Aries
75.6,HR 1294,Reticulum
76,HR 4486 A,Ursa Major
76,BD+01 2063,Hydra
76.1,Mu2 Cancri,Cancer
76.3,BD-13 3196,Hydra
76.4,BD+29 3423,Lyra
76.4,BD+35 1880,Lynx
76.4,HR 72 / HD 1461,Cetus
76.5,BZ Ceti,Cetus
76.5,BD+30 4983,Pegasus
76.6,CD-60 1425 A,Pictor
76.8,HR 8635 A,Grus
76.9,HR 5423,Bo?tes
76.9,BD-15 3924,Libra
77,BD-07 268,Cetus
77.1,BD-6 2664,Hydra
77.1,BD+42 271,Andromeda
77.3,HR 6538,Hercules
77.6,CD-43 14464,Microscopium
77.6,Omega Sagittarii A,Sagittarius
78.7,HR 2998,Puppis
78.8,BD+08 2134 A,Cancer
78.8,HR 5632,Circinis
78.9,BD+42 2361,Canes Venatici
78.9,BD+49 4291,Cassiopeia
78.9,CD-43 2523 A,Puppis
79,CP-82 843,Octans
79,HR 7845 A,Capricornus
79.1,BD+22 1531,Gemini
79.1,BD+56 2272,Cygnus
79.2,MT Pegasi,Pegasus
79.4,CD-46 968,Eridanus
79.4,BD+13 3091 A,Hercules
79.4,BD+13 3091 B,Hercules
79.6,BD+4 3589,Ophiuchus
79.8,CD-44 8505,Centaurus
80,HR 5566,Lupus
80.1,BD+32 360,Triangulum
80.2,BD+25 1594 A,Gemini
80.4,BD-03 3040 A,Crater
80.5,BD-3 534,Eridanus
80.5,CD-86 85,Octans
80.7,BD+37 3812,Cygnus
81,BD+37 42,Andromeda
81.2,HR 7294 A,Cygnus
81.2,HR 7293,Cygnus
81.3,HR 1747 A,Lepus
81.5,HR 672 A,Cetus-Pisces
81.7,BD+13 1655,Canis Majoris
81.9,BD+63 1882,Cepheus
82.1,BD+13 3677,Hercules-Ophiuchus
82.3,HR 7345,Lyra
82.3,BD+29 3190,Hercules
82.4,CD-46 1936 A,Pictor
82.4,KZ Andromedae A,Andromeda
82.4,BD+48 1889,Ursa Major
83.1,HR 176,Tucana
83.3,Lambda2 Fornacis,Fornax
83.4,CD-27 15550,Pisces Australis
83.4,Zeta2 Cancri Ca,Cancer
83.4,Zeta2 Cancri Cb,Cancer
83.4,BD+39 498,Andromeda
83.5,CD-29 5555,Puppis
83.5,BD+17 197,Pisces
83.5,BD+22 4950,Pegasus-Andromeda
83.5,CD-70 340 / HD 39194,Dorado
83.6,CD-38 7689,Centaurus
83.6,HR 6 A,Phoenix
83.7,BD+36 1442,Auriga
83.7,23 Librae,Libra
83.8,BD+57 1425 A,Ursa Major
83.8,HR 2290,Puppis
83.9,BD+70 395,Camelopardalis
83.9,BD+11 207,Pisces
83.9,BD+69 1169,Draco
83.9,CD-61 757,Reticulum
84.1,HR 2576,Canis Major
84.2,BD-20 6684,Cetus-Aquarius
84.2,BD+16 497,Taurus
84.2,Lambda Andromedae A,Andromeda
84.2,BD+68 67,Cassiopeia
84.3,BD+13 5059 A,Pegasus
84.4,CP-66 3810,Tucana
84.4,BD-08 117 A,Cetus-Pisces
84.8,BD+27 3516,Vulpecula
85,CD-28 15936,Sagittarius
85.1,HR 7123 A,Cygnus-Draco
85.1,BD+14 3755,Hercules
85.2,BD+15 407,Taurus
85.2,BD+15 2658,Bo?tes
85.3,BD-14 42,Cetus
85.4,BD-13 4528 A,Serpens Cauda
85.4,BD+36 1888,Lyra
85.5,HR 4328,Antlia-Hydra
85.6,BD+39 496,Andromeda
85.6,BD+07 2588,Virgo
85.6,BD-19 6489,Aquarius
85.7,BD+06 2697 A,Virgo
85.9,CD-37 8082,Centaurus
86.1,HR 2141,Auriga
86.1,BD+75 166,Camelopardalis
86.1,BD+23 303,Aries
86.3,11 Aquarii,Aquarius
86.5,Rho Indi,Indus
86.6,HR 3396,Hydra
86.8,BD+17 4808,Pegasus
87,HR 4734,Centaurus
87,BD+02 4718,Pisces
87.1,HR 2157 A,Puppis-Pictor
87.1,CD-32 17191,Pisces Australis
87.4,BD+12 2700,Leo
87.4,CD-70 1375,Apus
87.6,BD+22 583,Taurus
87.7,CD-33 12476,Scorpius
87.7,BD+26 4237,Pegasus
87.7,"Al Dhibain ""Prior"" Aa?",Draco
87.8,CD-70 1258,Apus
87.9,BD+38 4172,Cygnus
87.9,BD+30 4356,Cygnus-Vulpecula
88.1,BD+08 3689,Ophiuchus
88.2,BD+04 3919 A,Aquila
88.2,CD-31 5719,Puppis
88.3,CD-51 2914,Carina-Vela
88.3,HR 1405 A,Reticulum-Dorado
88.3,HR 1405 B,Reticulum-Dorado
88.5,BD+30 520,Aries-Perseus
88.5,CD-83 22 A,Hydrus
88.5,CD-46 9733,Lupus
88.6,BD-21 3660 A,Centaurus
88.6,BD+52 2057,Draco-Hercules
88.8,CD-54 932,Pictor-Dorado
88.8,BD+80 519,Apus
88.8,BD+10 2752 A,Bo?tes
88.8,CD-33 16219,Pisces Australis
89.1,BD+57 1086,Lynx-Camelopardalis
89.2,BD+12 1219,Ori-Mon-Gem
89.3,BD-11 3246 Aa,Crater
89.4,BD+33 1497,Gemini
89.5,CD-56 5542,Norma
89.6,BD-11 2670,Cancer
89.6,HR 3421,Vela
89.8,BD+61 1246 B,Ursa Major
89.8,BD+64 458,Carmelopardalis
89.9,CD-38 7027,Vela-Antlia
90,BD-03 3929,Ophiuchus-Serpens
90.2,BD-15 7,Cetus
90.2,Wolf 110,Cetus-Pisces
90.2,HR 7569,Aquila-Cap-Sag
90.2,CD-54 87,Phoenix
90.2,BD+20 5267,Pegasus
90.3,CD-49 2676,Puppis-Carina
90.5,BD+15 1126,Lepus
90.5,CD-68 410,Volans-Dorado
90.5,CD-42 4577,Vela
90.8,BD+19 4814 A,Pegasus
90.8,BD+52 982,Auriga
90.9,CD-38 13832,Sagittarius
90.9,CD-35 1797,Eridanus
90.9,CD-42 16092,Grus
91,BD+05 336,Cetus
91,CD-75 967,Apus
91,CD-42 2503,Columba-Puppis
91,CD-49 10471,Norma
91.1,38 Geminorum C,Gemini
91.3,BD-05 124,Cetus
91.3,BD-20 4572,Ophiuchus
91.3,BD+03 1279,Orion-Monoceros
91.3,HR 2067 A?,Orion
91.3,BD+61 1978,Cepheus-Draco
91.4,V478 Lyrae A,Lyra
91.4,Struve 2993 B,Aquarius
91.5,HR 2622,Monoceros
92,BD+56 1954,Draco
92,CD-49 12105,Pavo
92,BD+34 3749,Cygnus
92.1,BD+21 4221,Vulpecula
92.3,HR 5189 A,Centaurus
92.3,HR 5189 B,Centaurus
92.3,BD+02 3699,Aquila
92.3,BD+46 3778,Lacerta
92.3,13 Orionis,Orion
92.3,CD-26 10849 A,Libra
92.4,HD 29587,Perseus
92.4,BD+31 1684,Gemini
92.5,CD-52 2036,Carina
92.5,BD+59 2121,Cygnus-Draco
92.5,HR 4788,Centaurus
92.5,Xi Scorpii C,Scorpius
92.5,Xi Scorpii D,Scorpius
92.5,BD-11 4057 A,Ophiuchus-Scorpius
92.7,CD-45 10847,Scorpius-Ara
92.8,BD+42 3123,Lyra
92.8,HR 5659 A,Bo?tes
92.8,BD+36 958,Auriga
92.8,BD+19 2939 B,Bo?tes
92.8,Algol B,Perseus
92.8,BD+70 474 A,Camelopardalis
92.9,BD+16 2116 A,Leo
93,BD+17 2462,Coma Berenices-Virgo
93.1,HR 6697 A,Hercuels
93.1,HR 173,Sculptor-Aquarius
93.5,BD+13 778,Taurus
93.5,HR 5279,Apus
93.6,BD+04 858,Orion-Taurus
93.6,BD+35 1834,Lynx
93.7,BD+40 1864,Lynx
93.7,BD+32 2702,Hercules
93.8,BD+52 1514 A,Ursa Major
93.8,CD-39 4247,Vela
93.9,BD-11 4932,Aquila-Sagittarius
93.9,BD-20 249,Cetus
94,CP-53 933,Pictor
94.1,CD-32 8858,Centaurus
94.2,CP-67 2079,Musca
94.3,HR 5996,Scorpius-Ophiuchus
94.4,BD+29 3165,Hercules
94.4,BD+12 801 A,Orion
94.4,HR 3497 A,Vela
94.5,V711 Tauri A,Taurus
94.6,HR 9075,Pegasus-Andromeda
94.8,BD-07 3409,Virgo-Corvus
94.8,BD+20 2661,Leo-Coma Berenices
95,BD+71 762 A?,Draco-Ursa Minor
95.1,CD-40 135,Sculptor-Phoenix
95.2,CD-31 9365,Hydra
95.2,BD+48 1845 A,Ursa Major
95.2,HR 8829,Tucana?
95.6,BD+11 2853,Serpens
95.6,CD-34 4160,Puppis
95.7,BD+02 4731,Pisces-Aquarius
95.8,BD+47 4059 A,Andromeda
95.8,BD+65 1796,Cepheus
95.8,Deneb Kaitos,Cetus
95.9,CD-24 3969,Canis Major
95.9,BD+59 870,Camelopardalis
96,BD+27 3003,Hercules
96,BD+76 552,Ursa Minor
96.1,BD+41 4291 A,Lacerta
96.2,BD-11 716,Eridanus
96.2,BD+23 125,Andromeda-Pisces
96.3,BD+09 1860,Canis Minor
96.3,BD+19 1734,Gemini
96.4,BD-2 4230,Ophiuchus
96.4,BD+60 825,Camelopardalis
96.5,BD+74 889,Cepheus
96.8,HR 448,Cetus
96.9,BD+67 1498,Cepheus
97,HR 2162 A,Puppis
97,CD-30 18458,Microscopium
97,BD+01 3387 A,Ophiuchus
97,BD+01 3387 B,Ophiuchus
97.1,BD+45 3561,Cygnus
97.1,BD-00 229,Cetus
97.2,BD+51 1496,Ursa Major
97.3,BD+46 884,Perseus
97.4,BD+04 2050,Hydra
97.5,BD+45 992,Auriga
97.6,BD+44 862,Perseus
97.6,BD+05 1117,Orion
97.8,BD-03 4160,Serpens Cauda-Ophiuchus
98,Kappa Delphini A?,Delphinus
98.1,CD-50 2948,Puppis-Carina
98.1,BD+38 1993 A,Lyra
98.3,CD-25 13291,Sagittarius
98.4,BD-05 5349,Aquarius
98.4,CD-25 1278,Fornax-Cetus
98.4,CD-60 7932,Tucana
98.4,CD-51 2650,Carina
98.5,BD-08 6103,Aquarius
98.6,CD-38 8635,Centaurus
98.6,CD-69 2102,Indus
98.7,BD+03 4138,Aquila
98.8,BD+52 989,Auriga
99,BD+62 479,Cassiopeia
99,CD-43 9677,Lupus
99,BD+63 629,Camelopardalis
99,35 Leonis A,Leo
99,Epsilon Fornacis,Fornax
99.3,54 Hydrae C,Hydra
99.5,BD+20 2601,Leo
99.5,BD-11 3361,Corvus-Virgo
99.5,CD-57 8761,Grus-Indus
99.5,CD-35 10640,Libra
99.6,BD+40 2863,Bo?tes
99.6,Wolf 363,Vela
99.7,BD+61 1574,Draco
99.8,BD+44 3728,Cygnus
99.9,HR 5183,Virgo
100,BD+42 550,Andromeda